Q,U,m
3.58,175,3138.41996799958
3.58,200,3078.23920485095
3.58,225,3127.90325496257
3.58,250,2995.51003255547
5.07,175,3060.82024598286
5.07,200,3105.82776207143
5.07,225,3101.74902622466
5.07,250,3093.10192276952
7.15,175,3079.08677348727
7.15,200,3068.06425443458
7.15,225,3052.19980774818
7.15,250,3097.67747067377
