Q,U,m
3.58,175,3084.000213
3.58,200,3062.958434
3.58,225,2943.821986
3.58,250,3077.478609
5.07,175,3099.511966
5.07,200,3167.129182
5.07,225,3062.656051
5.07,250,3134.739079
7.15,175,3140.831128
7.15,200,3097.675882
7.15,225,3104.575912
7.15,250,3124.525834
