Q,U,m
3.58,175,3087.29935623403
3.58,200,3096.91008960835
3.58,225,3029.39305721854
3.58,250,3005.1095400263
5.07,175,3064.11379827986
5.07,200,2981.06277105761
5.07,225,3177.69975079125
5.07,250,3103.14505503115
7.15,175,3015.61248067179
7.15,200,3124.7427551454
7.15,225,3093.093555735
7.15,250,3081.45353022711
